cx_type,sentence,tgt_words,sentence_with_idxs,errors
Way Manner,"Tricia backed her way out, never taking her eyes off me or letting her bearings slip.",[3],"[(0, 'Tricia'), (1, 'backed'), (2, 'her'), (3, 'way'), (4, 'out,'), (5, 'never'), (6, 'taking'), (7, 'her'), (8, 'eyes'), (9, 'off'), (10, 'me'), (11, 'or'), (12, 'letting'), (13, 'her'), (14, 'bearings'), (15, 'slip.'), (16, '(FN'), (17, 'Construction)')]",
Way Manner,The taxi nosed its way back into the traffic as she introduced herself with a soft Cockney accent and a shy manner.,[4],"[(0, 'The'), (1, 'taxi'), (2, 'nosed'), (3, 'its'), (4, 'way'), (5, 'back'), (6, 'into'), (7, 'the'), (8, 'traffic'), (9, 'as'), (10, 'she'), (11, 'introduced'), (12, 'herself'), (13, 'with'), (14, 'a'), (15, 'soft'), (16, 'Cockney'), (17, 'accent'), (18, 'and'), (19, 'a'), (20, 'shy'), (21, 'manner.'), (22, '(FN'), (23, 'Construction)')]",
Way Manner,"As she felt her way forward, suddenly a knight on horseback galloped past her.",[4],"[(0, 'As'), (1, 'she'), (2, 'felt'), (3, 'her'), (4, 'way'), (5, 'forward,'), (6, 'suddenly'), (7, 'a'), (8, 'knight'), (9, 'on'), (10, 'horseback'), (11, 'galloped'), (12, 'past'), (13, 'her.'), (14, '(FN'), (15, 'Construction)')]",
Way Manner,"If this were to happen, would it not be unfair that other prisoners that do not have the means to pay and have committed 'lesser' crimes have to serve longer than those that can 'BUY' their way out of jail, so to speak?",[36],"[(0, 'If'), (1, 'this'), (2, 'were'), (3, 'to'), (4, 'happen,'), (5, 'would'), (6, 'it'), (7, 'not'), (8, 'be'), (9, 'unfair'), (10, 'that'), (11, 'other'), (12, 'prisoners'), (13, 'that'), (14, 'do'), (15, 'not'), (16, 'have'), (17, 'the'), (18, 'means'), (19, 'to'), (20, 'pay'), (21, 'and'), (22, 'have'), (23, 'committed'), (24, ""'lesser'""), (25, 'crimes'), (26, 'have'), (27, 'to'), (28, 'serve'), (29, 'longer'), (30, 'than'), (31, 'those'), (32, 'that'), (33, 'can'), (34, ""'BUY'""), (35, 'their'), (36, 'way'), (37, 'out'), (38, 'of'), (39, 'jail,'), (40, 'so'), (41, 'to'), (42, 'speak?'), (43, '(AMR)')]",
Way Manner,Through the French windows and across the lawn wafts the sound of choral evensong from a cathedral silhouetted against an autumn sky scattered with starlings who are startled into flight by the passage of a ploughman plodding his weary way homeward.,[39],"[(0, 'Through'), (1, 'the'), (2, 'French'), (3, 'windows'), (4, 'and'), (5, 'across'), (6, 'the'), (7, 'lawn'), (8, 'wafts'), (9, 'the'), (10, 'sound'), (11, 'of'), (12, 'choral'), (13, 'evensong'), (14, 'from'), (15, 'a'), (16, 'cathedral'), (17, 'silhouetted'), (18, 'against'), (19, 'an'), (20, 'autumn'), (21, 'sky'), (22, 'scattered'), (23, 'with'), (24, 'starlings'), (25, 'who'), (26, 'are'), (27, 'startled'), (28, 'into'), (29, 'flight'), (30, 'by'), (31, 'the'), (32, 'passage'), (33, 'of'), (34, 'a'), (35, 'ploughman'), (36, 'plodding'), (37, 'his'), (38, 'weary'), (39, 'way'), (40, 'homeward.')]",
Way Manner,"As you continue , you can see the path meandering its way up Ben Nevis in long zig-zags to the right of the Red Burn.",[11],"[(0, 'As'), (1, 'you'), (2, 'continue'), (3, ','), (4, 'you'), (5, 'can'), (6, 'see'), (7, 'the'), (8, 'path'), (9, 'meandering'), (10, 'its'), (11, 'way'), (12, 'up'), (13, 'Ben'), (14, 'Nevis'), (15, 'in'), (16, 'long'), (17, 'zig-zags'), (18, 'to'), (19, 'the'), (20, 'right'), (21, 'of'), (22, 'the'), (23, 'Red'), (24, 'Burn.')]",
Way Manner,If you type in the following program exactly as listed and run it you will see a fascinating pattern snake its way across your screen.,[21],"[(0, 'If'), (1, 'you'), (2, 'type'), (3, 'in'), (4, 'the'), (5, 'following'), (6, 'program'), (7, 'exactly'), (8, 'as'), (9, 'listed'), (10, 'and'), (11, 'run'), (12, 'it'), (13, 'you'), (14, 'will'), (15, 'see'), (16, 'a'), (17, 'fascinating'), (18, 'pattern'), (19, 'snake'), (20, 'its'), (21, 'way'), (22, 'across'), (23, 'your'), (24, 'screen.')]",
Way Manner,"He and his comrades sacked and pillaged their way from Rochester to Canterbury, from there to Lambeth palace and Southwark.",[8],"[(0, 'He'), (1, 'and'), (2, 'his'), (3, 'comrades'), (4, 'sacked'), (5, 'and'), (6, 'pillaged'), (7, 'their'), (8, 'way'), (9, 'from'), (10, 'Rochester'), (11, 'to'), (12, 'Canterbury,'), (13, 'from'), (14, 'there'), (15, 'to'), (16, 'Lambeth'), (17, 'palace'), (18, 'and'), (19, 'Southwark.')]",
Way Manner,Thus a miner who slipped from the worn and greasy rungs was liable to fall a long way and a dropped tool could clatter its way down to cause death or injury to some fellow below.,[25],"[(0, 'Thus'), (1, 'a'), (2, 'miner'), (3, 'who'), (4, 'slipped'), (5, 'from'), (6, 'the'), (7, 'worn'), (8, 'and'), (9, 'greasy'), (10, 'rungs'), (11, 'was'), (12, 'liable'), (13, 'to'), (14, 'fall'), (15, 'a'), (16, 'long'), (17, 'way'), (18, 'and'), (19, 'a'), (20, 'dropped'), (21, 'tool'), (22, 'could'), (23, 'clatter'), (24, 'its'), (25, 'way'), (26, 'down'), (27, 'to'), (28, 'cause'), (29, 'death'), (30, 'or'), (31, 'injury'), (32, 'to'), (33, 'some'), (34, 'fellow'), (35, 'below.')]",
Way Manner,"I watched the Land-Rover grind its way up the track till a turn of the glen hid it from sight, and in a few more moments the sound of its engine had faded to silence.",[6],"[(0, 'I'), (1, 'watched'), (2, 'the'), (3, 'Land-Rover'), (4, 'grind'), (5, 'its'), (6, 'way'), (7, 'up'), (8, 'the'), (9, 'track'), (10, 'till'), (11, 'a'), (12, 'turn'), (13, 'of'), (14, 'the'), (15, 'glen'), (16, 'hid'), (17, 'it'), (18, 'from'), (19, 'sight,'), (20, 'and'), (21, 'in'), (22, 'a'), (23, 'few'), (24, 'more'), (25, 'moments'), (26, 'the'), (27, 'sound'), (28, 'of'), (29, 'its'), (30, 'engine'), (31, 'had'), (32, 'faded'), (33, 'to'), (34, 'silence.')]",
Way Manner,"Sure enough, a sparkling line of firelight was twitching its way up the hill, the red gleam of flame shifting constantly in the slight breeze, and disappearing now and again as the marchers tracked up or down slopes in the road.",[10],"[(0, 'Sure'), (1, 'enough,'), (2, 'a'), (3, 'sparkling'), (4, 'line'), (5, 'of'), (6, 'firelight'), (7, 'was'), (8, 'twitching'), (9, 'its'), (10, 'way'), (11, 'up'), (12, 'the'), (13, 'hill,'), (14, 'the'), (15, 'red'), (16, 'gleam'), (17, 'of'), (18, 'flame'), (19, 'shifting'), (20, 'constantly'), (21, 'in'), (22, 'the'), (23, 'slight'), (24, 'breeze,'), (25, 'and'), (26, 'disappearing'), (27, 'now'), (28, 'and'), (29, 'again'), (30, 'as'), (31, 'the'), (32, 'marchers'), (33, 'tracked'), (34, 'up'), (35, 'or'), (36, 'down'), (37, 'slopes'), (38, 'in'), (39, 'the'), (40, 'road.')]",
Way Manner,"There were lots of people in plastic rain hoods puffing their way up a huge, cobbled stairway, complaining at how wide apart the steps had been laid.",[11],"[(0, 'There'), (1, 'were'), (2, 'lots'), (3, 'of'), (4, 'people'), (5, 'in'), (6, 'plastic'), (7, 'rain'), (8, 'hoods'), (9, 'puffing'), (10, 'their'), (11, 'way'), (12, 'up'), (13, 'a'), (14, 'huge,'), (15, 'cobbled'), (16, 'stairway,'), (17, 'complaining'), (18, 'at'), (19, 'how'), (20, 'wide'), (21, 'apart'), (22, 'the'), (23, 'steps'), (24, 'had'), (25, 'been'), (26, 'laid.')]",
Way Manner,"We set out from Spean Bridge, where numerous coach parties enjoy real Highland hospitality in the Little Chef, before choosing from a rich selection of tartan travel rugs and heather-perfumed candles in the gift shop, and chugged our way up past Corriechoille farm.",[38],"[(0, 'We'), (1, 'set'), (2, 'out'), (3, 'from'), (4, 'Spean'), (5, 'Bridge,'), (6, 'where'), (7, 'numerous'), (8, 'coach'), (9, 'parties'), (10, 'enjoy'), (11, 'real'), (12, 'Highland'), (13, 'hospitality'), (14, 'in'), (15, 'the'), (16, 'Little'), (17, 'Chef,'), (18, 'before'), (19, 'choosing'), (20, 'from'), (21, 'a'), (22, 'rich'), (23, 'selection'), (24, 'of'), (25, 'tartan'), (26, 'travel'), (27, 'rugs'), (28, 'and'), (29, 'heather-perfumed'), (30, 'candles'), (31, 'in'), (32, 'the'), (33, 'gift'), (34, 'shop,'), (35, 'and'), (36, 'chugged'), (37, 'our'), (38, 'way'), (39, 'up'), (40, 'past'), (41, 'Corriechoille'), (42, 'farm.')]",
Way Manner,"She stared from one to the other, feeling apprehension shiver its cold way along her spine.",[12],"[(0, 'She'), (1, 'stared'), (2, 'from'), (3, 'one'), (4, 'to'), (5, 'the'), (6, 'other,'), (7, 'feeling'), (8, 'apprehension'), (9, 'shiver'), (10, 'its'), (11, 'cold'), (12, 'way'), (13, 'along'), (14, 'her'), (15, 'spine.')]",
Way Manner,"Lais danced her way across the Atlantic Ocean, sleeping during the day.",[3],"[(0, 'Lais'), (1, 'danced'), (2, 'her'), (3, 'way'), (4, 'across'), (5, 'the'), (6, 'Atlantic'), (7, 'Ocean,'), (8, 'sleeping'), (9, 'during'), (10, 'the'), (11, 'day.')]",
Way Manner,We picked out all of the best songs from the tapes and sang our way across the rest of Europe.,[14],"[(0, 'We'), (1, 'picked'), (2, 'out'), (3, 'all'), (4, 'of'), (5, 'the'), (6, 'best'), (7, 'songs'), (8, 'from'), (9, 'the'), (10, 'tapes'), (11, 'and'), (12, 'sang'), (13, 'our'), (14, 'way'), (15, 'across'), (16, 'the'), (17, 'rest'), (18, 'of'), (19, 'Europe.')]",
Way Manner,"She was a big, bosomy woman who couldn't work without a box of biscuits on the desk beside her, and Sarella could hear her now, crunching her way through them.",[27],"[(0, 'She'), (1, 'was'), (2, 'a'), (3, 'big,'), (4, 'bosomy'), (5, 'woman'), (6, 'who'), (7, ""couldn't""), (8, 'work'), (9, 'without'), (10, 'a'), (11, 'box'), (12, 'of'), (13, 'biscuits'), (14, 'on'), (15, 'the'), (16, 'desk'), (17, 'beside'), (18, 'her,'), (19, 'and'), (20, 'Sarella'), (21, 'could'), (22, 'hear'), (23, 'her'), (24, 'now,'), (25, 'crunching'), (26, 'her'), (27, 'way'), (28, 'through'), (29, 'them.')]",
Way Manner,There is without a shadow of doubt some very nasty gossip about me now sludging its filthy way through the intestines of the society I know and have come to despise.,[17],"[(0, 'There'), (1, 'is'), (2, 'without'), (3, 'a'), (4, 'shadow'), (5, 'of'), (6, 'doubt'), (7, 'some'), (8, 'very'), (9, 'nasty'), (10, 'gossip'), (11, 'about'), (12, 'me'), (13, 'now'), (14, 'sludging'), (15, 'its'), (16, 'filthy'), (17, 'way'), (18, 'through'), (19, 'the'), (20, 'intestines'), (21, 'of'), (22, 'the'), (23, 'society'), (24, 'I'), (25, 'know'), (26, 'and'), (27, 'have'), (28, 'come'), (29, 'to'), (30, 'despise.')]",
Way Manner,She was pointing at a massive crane inching its way down Heymouth Brae.,[9],"[(0, 'She'), (1, 'was'), (2, 'pointing'), (3, 'at'), (4, 'a'), (5, 'massive'), (6, 'crane'), (7, 'inching'), (8, 'its'), (9, 'way'), (10, 'down'), (11, 'Heymouth'), (12, 'Brae.')]",
Way Manner,"I'm a woman 's man , ""Florian returned complacently as their driver eased his slow way out of one of the traffic jams that were a major problem in Taipei.",[15],"[(0, ""I'm""), (1, 'a'), (2, 'woman'), (3, ""'s""), (4, 'man'), (5, ','), (6, '""Florian'), (7, 'returned'), (8, 'complacently'), (9, 'as'), (10, 'their'), (11, 'driver'), (12, 'eased'), (13, 'his'), (14, 'slow'), (15, 'way'), (16, 'out'), (17, 'of'), (18, 'one'), (19, 'of'), (20, 'the'), (21, 'traffic'), (22, 'jams'), (23, 'that'), (24, 'were'), (25, 'a'), (26, 'major'), (27, 'problem'), (28, 'in'), (29, 'Taipei.')]",
Way Manner,I had got used to the pace over there which was so slow you could almost walk your way into scoring positions.,[18],"[(0, 'I'), (1, 'had'), (2, 'got'), (3, 'used'), (4, 'to'), (5, 'the'), (6, 'pace'), (7, 'over'), (8, 'there'), (9, 'which'), (10, 'was'), (11, 'so'), (12, 'slow'), (13, 'you'), (14, 'could'), (15, 'almost'), (16, 'walk'), (17, 'your'), (18, 'way'), (19, 'into'), (20, 'scoring'), (21, 'positions.')]",
Way Manner,"Up the long stone stairs from the kitchen, into the green enclosed light of the pantry passage, then on up the next staircase, its turns mean and sudden compared with the twin sweeps of the main stairs, Nicandra plodded her careful way to Aunt Tossie 's bedroom door.",[41],"[(0, 'Up'), (1, 'the'), (2, 'long'), (3, 'stone'), (4, 'stairs'), (5, 'from'), (6, 'the'), (7, 'kitchen,'), (8, 'into'), (9, 'the'), (10, 'green'), (11, 'enclosed'), (12, 'light'), (13, 'of'), (14, 'the'), (15, 'pantry'), (16, 'passage,'), (17, 'then'), (18, 'on'), (19, 'up'), (20, 'the'), (21, 'next'), (22, 'staircase,'), (23, 'its'), (24, 'turns'), (25, 'mean'), (26, 'and'), (27, 'sudden'), (28, 'compared'), (29, 'with'), (30, 'the'), (31, 'twin'), (32, 'sweeps'), (33, 'of'), (34, 'the'), (35, 'main'), (36, 'stairs,'), (37, 'Nicandra'), (38, 'plodded'), (39, 'her'), (40, 'careful'), (41, 'wayto'), (42, 'Aunt'), (43, 'Tossie'), (44, ""'s""), (45, 'bedroom'), (46, 'door.')]",
Way Manner,A middle-aged man eased his way into the room.,[5],"[(0, 'A'), (1, 'middle-aged'), (2, 'man'), (3, 'eased'), (4, 'his'), (5, 'way'), (6, 'into'), (7, 'the'), (8, 'room.')]",
Way Manner,"Like an overgrown Bisto kid I sniffed and aaahed my way to the source of the oaky-smokey smell, where I met a man whom I am very pleased to know.",[10],"[(0, 'Like'), (1, 'an'), (2, 'overgrown'), (3, 'Bisto'), (4, 'kid'), (5, 'I'), (6, 'sniffed'), (7, 'and'), (8, 'aaahed'), (9, 'my'), (10, 'way'), (11, 'to'), (12, 'the'), (13, 'source'), (14, 'of'), (15, 'the'), (16, 'oaky-smokey'), (17, 'smell,'), (18, 'where'), (19, 'I'), (20, 'met'), (21, 'a'), (22, 'man'), (23, 'whom'), (24, 'I'), (25, 'am'), (26, 'very'), (27, 'pleased'), (28, 'to'), (29, 'know.')]",
Way Manner,"The vet was forced into an unscheduled arrival at 50 miles-an-hour into a nearby farm-yard, much to the surprise of a herd of Jerseys ambling their way to the milking parlour.",[26],"[(0, 'The'), (1, 'vet'), (2, 'was'), (3, 'forced'), (4, 'into'), (5, 'an'), (6, 'unscheduled'), (7, 'arrival'), (8, 'at'), (9, '50'), (10, 'miles-an-hour'), (11, 'into'), (12, 'a'), (13, 'nearby'), (14, 'farm-yard,'), (15, 'much'), (16, 'to'), (17, 'the'), (18, 'surprise'), (19, 'of'), (20, 'a'), (21, 'herd'), (22, 'of'), (23, 'Jerseys'), (24, 'ambling'), (25, 'their'), (26, 'way'), (27, 'to'), (28, 'the'), (29, 'milking'), (30, 'parlour.')]",
Way Manner,I yawned my way back to the Narrow Neck.,[3],"[(0, 'I'), (1, 'yawned'), (2, 'my'), (3, 'way'), (4, 'back'), (5, 'to'), (6, 'the'), (7, 'Narrow'), (8, 'Neck.')]",
Way Manner,"Their legs entwined, like some exotic two-headed carnival monster in skin-tight red, yellow and blue costumes, the limbo dancers were gyrating their way skilfully beneath a burning pole.",[22],"[(0, 'Their'), (1, 'legs'), (2, 'entwined,'), (3, 'like'), (4, 'some'), (5, 'exotic'), (6, 'two-headed'), (7, 'carnival'), (8, 'monster'), (9, 'in'), (10, 'skin-tight'), (11, 'red,'), (12, 'yellow'), (13, 'and'), (14, 'blue'), (15, 'costumes,'), (16, 'the'), (17, 'limbo'), (18, 'dancers'), (19, 'were'), (20, 'gyrating'), (21, 'their'), (22, 'way'), (23, 'skilfully'), (24, 'beneath'), (25, 'a'), (26, 'burning'), (27, 'pole.')]",
Way Manner,"Though punctuated by frequent flash-backs to the period before, during and just after the war, temporal progression in the present is clearly marked by the development of two narrative lines which weave their ways in and out of the novel.",[33],"[(0, 'Though'), (1, 'punctuated'), (2, 'by'), (3, 'frequent'), (4, 'flash-backs'), (5, 'to'), (6, 'the'), (7, 'period'), (8, 'before,'), (9, 'during'), (10, 'and'), (11, 'just'), (12, 'after'), (13, 'the'), (14, 'war,'), (15, 'temporal'), (16, 'progression'), (17, 'in'), (18, 'the'), (19, 'present'), (20, 'is'), (21, 'clearly'), (22, 'marked'), (23, 'by'), (24, 'the'), (25, 'development'), (26, 'of'), (27, 'two'), (28, 'narrative'), (29, 'lines'), (30, 'which'), (31, 'weave'), (32, 'their'), (33, 'ways'), (34, 'in'), (35, 'and'), (36, 'out'), (37, 'of'), (38, 'the'), (39, 'novel.')]",
Way Manner,"They crossed the strip of wasteland underneath the motorway link that came tunnelling and bridging its way through the hilly landscape, and entered a zone of fenced-off lots containing warehouses and sales-rooms, light industrial units and the offices of small businesses.",[16],"[(0, 'They'), (1, 'crossed'), (2, 'the'), (3, 'strip'), (4, 'of'), (5, 'wasteland'), (6, 'underneath'), (7, 'the'), (8, 'motorway'), (9, 'link'), (10, 'that'), (11, 'came'), (12, 'tunnelling'), (13, 'and'), (14, 'bridging'), (15, 'its'), (16, 'way'), (17, 'through'), (18, 'the'), (19, 'hilly'), (20, 'landscape,'), (21, 'and'), (22, 'entered'), (23, 'a'), (24, 'zone'), (25, 'of'), (26, 'fenced-off'), (27, 'lots'), (28, 'containing'), (29, 'warehouses'), (30, 'and'), (31, 'sales-rooms,'), (32, 'light'), (33, 'industrial'), (34, 'units'), (35, 'and'), (36, 'the'), (37, 'offices'), (38, 'of'), (39, 'small'), (40, 'businesses.')]",
Way Manner,HOO HAH BOYS : A strange tribe of people from the south of Ireland who have no interest in the concept of life as we know it but instead tend to live out their winters bushing it (See : BUSHING) behind the Carlini factory and spend their summers drinking their way across Europe.,[50],"[(0, 'HOO'), (1, 'HAH'), (2, 'BOYS'), (3, ':'), (4, 'A'), (5, 'strange'), (6, 'tribe'), (7, 'of'), (8, 'people'), (9, 'from'), (10, 'the'), (11, 'south'), (12, 'of'), (13, 'Ireland'), (14, 'who'), (15, 'have'), (16, 'no'), (17, 'interest'), (18, 'in'), (19, 'the'), (20, 'concept'), (21, 'of'), (22, 'life'), (23, 'as'), (24, 'we'), (25, 'know'), (26, 'it'), (27, 'but'), (28, 'instead'), (29, 'tend'), (30, 'to'), (31, 'live'), (32, 'out'), (33, 'their'), (34, 'winters'), (35, 'bushing'), (36, 'it'), (37, '(See'), (38, ':'), (39, 'BUSHING)'), (40, 'behind'), (41, 'the'), (42, 'Carlini'), (43, 'factory'), (44, 'and'), (45, 'spend'), (46, 'their'), (47, 'summers'), (48, 'drinking'), (49, 'their'), (50, 'way'), (51, 'across'), (52, 'Europe.')]",
Way Manner,"Poor Rob, what is he going to do with this middle-aged bat who is sobbing her way down the Thames?",[16],"[(0, 'Poor'), (1, 'Rob,'), (2, 'what'), (3, 'is'), (4, 'he'), (5, 'going'), (6, 'to'), (7, 'do'), (8, 'with'), (9, 'this'), (10, 'middle-aged'), (11, 'bat'), (12, 'who'), (13, 'is'), (14, 'sobbing'), (15, 'her'), (16, 'way'), (17, 'down'), (18, 'the'), (19, 'Thames?')]",
Way Manner,"Wearing a woollen pixie hat above his bright red beard, he loudly and uninterruptedly belched and farted his way up and down Moel Hebog with a cheery smile and complete disregard for the appalled looks which followed his thundering progress.",[18],"[(0, 'Wearing'), (1, 'a'), (2, 'woollen'), (3, 'pixie'), (4, 'hat'), (5, 'above'), (6, 'his'), (7, 'bright'), (8, 'red'), (9, 'beard,'), (10, 'he'), (11, 'loudly'), (12, 'and'), (13, 'uninterruptedly'), (14, 'belched'), (15, 'and'), (16, 'farted'), (17, 'his'), (18, 'way'), (19, 'up'), (20, 'and'), (21, 'down'), (22, 'Moel'), (23, 'Hebog'), (24, 'with'), (25, 'a'), (26, 'cheery'), (27, 'smile'), (28, 'and'), (29, 'complete'), (30, 'disregard'), (31, 'for'), (32, 'the'), (33, 'appalled'), (34, 'looks'), (35, 'which'), (36, 'followed'), (37, 'his'), (38, 'thundering'), (39, 'progress')]",
Way Manner,"Rather than trying to bluff your way through, it is better to say something like , 'Right at this moment it's rather difficult to remember the exact details, could I possibly look over the advertisement again?",[6],"[(0, 'Rather'), (1, 'than'), (2, 'trying'), (3, 'to'), (4, 'bluff'), (5, 'your'), (6, 'way'), (7, 'through,'), (8, 'it'), (9, 'is'), (10, 'better'), (11, 'to'), (12, 'say'), (13, 'something'), (14, 'like'), (15, ','), (16, ""'Right""), (17, 'at'), (18, 'this'), (19, 'moment'), (20, ""it's""), (21, 'rather'), (22, 'difficult'), (23, 'to'), (24, 'remember'), (25, 'the'), (26, 'exact'), (27, 'details,'), (28, 'could'), (29, 'I'), (30, 'possibly'), (31, 'look'), (32, 'over'), (33, 'the'), (34, 'advertisement'), (35, 'again?')]",
Way Manner,It was an easy matter to buy my way on to the same flight.,[8],"[(0, 'It'), (1, 'was'), (2, 'an'), (3, 'easy'), (4, 'matter'), (5, 'to'), (6, 'buy'), (7, 'my'), (8, 'way'), (9, 'on'), (10, 'to'), (11, 'the'), (12, 'same'), (13, 'flight.')]",
Way Manner,"Groping her way into the sleeves, Nicandra wondered uneasily what these unusual indulgences portended.",[2],"[(0, 'Groping'), (1, 'her'), (2, 'way'), (3, 'into'), (4, 'the'), (5, 'sleeves,'), (6, 'Nicandra'), (7, 'wondered'), (8, 'uneasily'), (9, 'what'), (10, 'these'), (11, 'unusual'), (12, 'indulgences'), (13, 'portended.')]",
Way Manner,"He roared and roared, waist-high in the shallows, pushed this way and that by the breakers, his head lofted, air piling into his lungs, as he fought his way towards the granite rockpile.",[28],"[(0, 'He'), (1, 'roared'), (2, 'and'), (3, 'roared,'), (4, 'waist-high'), (5, 'in'), (6, 'the'), (7, 'shallows,'), (8, 'pushed'), (9, 'this'), (10, 'way'), (11, 'and'), (12, 'that'), (13, 'by'), (14, 'the'), (15, 'breakers,'), (16, 'his'), (17, 'head'), (18, 'lofted,'), (19, 'air'), (20, 'piling'), (21, 'into'), (22, 'his'), (23, 'lungs,'), (24, 'as'), (25, 'he'), (26, 'fought'), (27, 'his'), (28, 'way'), (29, 'towards'), (30, 'the'), (31, 'granite'), (32, 'rockpile.')]",
Way Manner,"This steam sometimes blasts its way up to the surface through the lava, causing what is known as a phreatic explosion, so the advance of the lava is then anything but peaceful, and unwary spectators are sometimes injured by the explosions.",[5],"[(0, 'This'), (1, 'steam'), (2, 'sometimes'), (3, 'blasts'), (4, 'its'), (5, 'way'), (6, 'up'), (7, 'to'), (8, 'the'), (9, 'surface'), (10, 'through'), (11, 'the'), (12, 'lava,'), (13, 'causing'), (14, 'what'), (15, 'is'), (16, 'known'), (17, 'as'), (18, 'a'), (19, 'phreatic'), (20, 'explosion,'), (21, 'so'), (22, 'the'), (23, 'advance'), (24, 'of'), (25, 'the'), (26, 'lava'), (27, 'is'), (28, 'then'), (29, 'anything'), (30, 'but'), (31, 'peaceful,'), (32, 'and'), (33, 'unwary'), (34, 'spectators'), (35, 'are'), (36, 'sometimes'), (37, 'injured'), (38, 'by'), (39, 'the'), (40, 'explosions.')]",
Way Manner,"And as I stood myself alone upon the New Year night, I prayed unto the frosty moon, with her pale light -- what a dull time we should have if we tried to read our way through The Fall of Princes.",[35],"[(0, 'And'), (1, 'as'), (2, 'I'), (3, 'stood'), (4, 'myself'), (5, 'alone'), (6, 'upon'), (7, 'the'), (8, 'New'), (9, 'Year'), (10, 'night,'), (11, 'I'), (12, 'prayed'), (13, 'unto'), (14, 'the'), (15, 'frosty'), (16, 'moon,'), (17, 'with'), (18, 'her'), (19, 'pale'), (20, 'light'), (21, '--'), (22, 'what'), (23, 'a'), (24, 'dull'), (25, 'time'), (26, 'we'), (27, 'should'), (28, 'have'), (29, 'if'), (30, 'we'), (31, 'tried'), (32, 'to'), (33, 'read'), (34, 'our'), (35, 'way'), (36, 'through'), (37, 'The'), (38, 'Fall'), (39, 'of'), (40, 'Princes.')]",
Way Manner,But Mum just gave them one of her black looks and elbowed her way past the two women and went into Granny's house.,[13],"[(0, 'But'), (1, 'Mum'), (2, 'just'), (3, 'gave'), (4, 'them'), (5, 'one'), (6, 'of'), (7, 'her'), (8, 'black'), (9, 'looks'), (10, 'and'), (11, 'elbowed'), (12, 'her'), (13, 'way'), (14, 'past'), (15, 'the'), (16, 'two'), (17, 'women'), (18, 'and'), (19, 'went'), (20, 'into'), (21, ""Granny's""), (22, 'house.')]",
Way Manner,Constance squeezed her way down the platform looking for the first-class carriages.,[3],"[(0, 'Constance'), (1, 'squeezed'), (2, 'her'), (3, 'way'), (4, 'down'), (5, 'the'), (6, 'platform'), (7, 'looking'), (8, 'for'), (9, 'the'), (10, 'first-class'), (11, 'carriages.')]",
Way Manner,He did not sound a bit sorry and she almost smiled because she had forgotten how Charles bulldozed his way through life.,[19],"[(0, 'He'), (1, 'did'), (2, 'not'), (3, 'sound'), (4, 'a'), (5, 'bit'), (6, 'sorry'), (7, 'and'), (8, 'she'), (9, 'almost'), (10, 'smiled'), (11, 'because'), (12, 'she'), (13, 'had'), (14, 'forgotten'), (15, 'how'), (16, 'Charles'), (17, 'bulldozed'), (18, 'his'), (19, 'way'), (20, 'through'), (21, 'life.')]",
Way Manner,"He chewed his way through a large and over-greasy midday meal, drank more beer than he ought to have done, took some laudanum with his brandy and water to give him sleep and felt his brain ripped open by a nightmare which wolfed down his mind in the open bleeding mouths of women.",[3],"[(0, 'He'), (1, 'chewed'), (2, 'his'), (3, 'way'), (4, 'through'), (5, 'a'), (6, 'large'), (7, 'and'), (8, 'over-greasy'), (9, 'midday'), (10, 'meal,'), (11, 'drank'), (12, 'more'), (13, 'beer'), (14, 'than'), (15, 'he'), (16, 'ought'), (17, 'to'), (18, 'have'), (19, 'done,'), (20, 'took'), (21, 'some'), (22, 'laudanum'), (23, 'with'), (24, 'his'), (25, 'brandy'), (26, 'and'), (27, 'water'), (28, 'to'), (29, 'give'), (30, 'him'), (31, 'sleep'), (32, 'and'), (33, 'felt'), (34, 'his'), (35, 'brain'), (36, 'ripped'), (37, 'open'), (38, 'by'), (39, 'a'), (40, 'nightmare'), (41, 'which'), (42, 'wolfed'), (43, 'down'), (44, 'his'), (45, 'mind'), (46, 'in'), (47, 'the'), (48, 'open'), (49, 'bleeding'), (50, 'mouths'), (51, 'of'), (52, 'women.')]",
Way Manner,"Those Roebuck penalties apart, the only other scores from the Australians came in the first half, when strapping winger Damien Smith barged his way through two tackles to notch the game's only try.",[23],"[(0, 'Those'), (1, 'Roebuck'), (2, 'penalties'), (3, 'apart,'), (4, 'the'), (5, 'only'), (6, 'other'), (7, 'scores'), (8, 'from'), (9, 'the'), (10, 'Australians'), (11, 'came'), (12, 'in'), (13, 'the'), (14, 'first'), (15, 'half,'), (16, 'when'), (17, 'strapping'), (18, 'winger'), (19, 'Damien'), (20, 'Smith'), (21, 'barged'), (22, 'his'), (23, 'way'), (24, 'through'), (25, 'two'), (26, 'tackles'), (27, 'to'), (28, 'notch'), (29, 'the'), (30, ""game's""), (31, 'only'), (32, 'try.')]",
Way Manner,With the ball inches from the line hooker Sean Culleton burrowed his way under the bodies for an unconverted try.,[12],"[(0, 'With'), (1, 'the'), (2, 'ball'), (3, 'inches'), (4, 'from'), (5, 'the'), (6, 'line'), (7, 'hooker'), (8, 'Sean'), (9, 'Culleton'), (10, 'burrowed'), (11, 'his'), (12, 'way'), (13, 'under'), (14, 'the'), (15, 'bodies'), (16, 'for'), (17, 'an'), (18, 'unconverted'), (19, 'try.')]",
